food_item_uid,food_item_name,restaurant_food_item_description,food_item_image_url,food_item_type,actual_price_r,old_price_s,old_price_l,actual_price_r,actual_price_s,actual-price_l,food_item_category,food_item_parent_category,restaurant_food_item_speciality,restaurant_food_item_availability,AddOns,isAddOns,isCustomizers
WAO536,Watermelon Mojito,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,135,,,135,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
GRO114,Green Apple Mojito,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,145,,,145,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
BLO289,Black Current Mojito,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,149,,,149,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
AAA311,Aam Panna,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,149,,,149,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
LEY445,Leechy Sky,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,159,,,159,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
SPA560,Spice Margarita,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,165,,,165,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
HAZ647,Hawaiian Fizz,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,169,,,169,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
BLO286,Blueberry Mojito,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,139,,,139,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
LET491,Lemon Ginger Mint,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,149,,,149,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
VIE671,Virgin Sunrise,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,155,,,155,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
